price_rub,price_log_rub,source,region,okrug,settlement,property_format,house_type,housing_market,housing_class,heating_type,overlap_type,gas_supply_type,redevelopment_status,repair_type,finish_type,sale_type,bathroom_type,balcony_loggia_type,floor_group,furniture_set,appliances_set,is_studio,is_first_floor,is_last_floor,is_new_building_year,is_share_sale,is_apartment_format,is_penthouse_format,has_elevator,has_balcony,has_loggia,windows_yard,windows_street,windows_park_or_forest,windows_water,windows_sunny,windows_panoramic,windows_two_sides,windows_quiet,parking_underground,parking_surface,parking_multilevel,parking_yard,parking_open_yard,parking_barrier,parking_guest,yard_closed,yard_playground,yard_sportground,yard_no_cars,yard_barrier,has_furniture,has_kitchen_furniture,has_wardrobe_storage,has_sleeping_places,has_fridge,has_washer,has_dishwasher,has_ac,has_water_heater,has_oven,has_cooktop,has_hood,has_appliances,mortgage_possible,one_owner,no_encumbrance,quick_deal,has_warm_floor,is_emergency_house,has_ramp,has_minor_owners,maternity_capital_used,has_garbage_chute,has_concierge,entrance_clean,entrance_needs_repair,has_security,has_storage_room,has_mall_nearby_text,has_park_nearby_text,has_school_nearby_text,has_kindergarten_nearby_text,has_metro_1000m,has_park_1000m,has_school_1000m,has_kindergarten_1000m,has_hospital_clinic_1000m,has_pharmacy_1000m,has_supermarket_1000m,has_public_transport_stop_1000m,has_cafe_restaurant_1000m,has_fitness_sport_1000m,lat,lon,rooms,total_area_m2,kitchen_area_m2,living_area_m2,kitchen_area_share,living_area_share,floor,floors_total,floor_ratio,house_year,house_age,ceiling_height_m,housing_class_rank,ownership_share_fraction,finish_rank,bathroom_combined_count,bathroom_separate_count,bathroom_total_count,passenger_elevator_count,freight_elevator_count,elevator_total_count,metro_min_listed,metro_count_listed,mkad_distance_km,balcony_count,loggia_count,windows_view_count,description_len_chars,description_len_words,osm_metro_count_1000m,osm_metro_nearest_1000m,osm_park_count_1000m,osm_park_nearest_1000m,osm_school_count_1000m,osm_school_nearest_1000m,osm_kindergarten_count_1000m,osm_kindergarten_nearest_1000m,osm_hospital_clinic_count_1000m,osm_hospital_clinic_nearest_1000m,osm_pharmacy_count_1000m,osm_pharmacy_nearest_1000m,osm_supermarket_count_1000m,osm_supermarket_nearest_1000m,osm_public_transport_stop_count_1000m,osm_public_transport_stop_nearest_1000m,osm_cafe_restaurant_count_1000m,osm_cafe_restaurant_nearest_1000m,osm_fitness_sport_count_1000m,osm_fitness_sport_nearest_1000m,osm_total_poi_count_1000m,infrastructure_score_1000m,log1p_osm_metro_count_1000m,log1p_osm_park_count_1000m,log1p_osm_school_count_1000m,log1p_osm_kindergarten_count_1000m,log1p_osm_hospital_clinic_count_1000m,log1p_osm_pharmacy_count_1000m,log1p_osm_supermarket_count_1000m,log1p_osm_public_transport_stop_count_1000m,log1p_osm_cafe_restaurant_count_1000m,log1p_osm_fitness_sport_count_1000m,log1p_osm_total_poi_count_1000m,area_per_room_m2
11600000.0,16.266515742283485,avito,unknown,unknown,unknown,flat,monolith_brick,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,ddu,unknown,unknown,low,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,55.59133,37.48273,1.0,32.6,10.0,,0.3067484662576687,,4.0,17.0,0.23529411764705882,,,2.7,,,0.0,0,0,0,0,0,0,25.5,3,,0.0,0.0,0,702,93,7.0,770.9,5.0,434.1,0.0,1001.0,0.0,1001.0,0.0,1001.0,0.0,1001.0,0.0,1001.0,8.0,616.4,0.0,1001.0,0.0,1001.0,19.0,46.0,2.079441541679836,1.791759469228055,0.0,0.0,0.0,0.0,0.0,2.19722457733622,0.0,0.0,2.995732273553991,32.6
5636400.0,15.544756299221282,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,assignment,combined,unknown,low,unknown,unknown,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,56.07982,37.06055,1.0,40.3,18.8,13.4,0.46650124069478915,0.33250620347394544,3.0,17.0,0.17647058823529413,2027.0,-1.0,2.7,,,0.0,1,0,1,1,1,2,,0,,0.0,0.0,0,457,71,0.0,1001.0,19.0,174.8,1.0,587.2,1.0,812.2,2.0,313.1,2.0,205.7,16.0,249.6,8.0,104.4,6.0,279.5,1.0,308.4,56.0,67.0,0.0,2.995732273553991,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,2.833213344056216,2.19722457733622,1.9459101490553128,0.6931471805599453,4.04305126783455,40.3
7923600.0,15.885356332175915,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,gas,unknown,unknown,unknown,unknown,prefinish,ddu,combined,unknown,low,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,55.52237,37.61232,1.0,37.2,17.7,11.5,0.4758064516129032,0.30913978494623656,2.0,25.0,0.08,,,2.6,,,2.0,1,0,1,1,0,1,5.0,0,5.0,0.0,0.0,0,973,140,0.0,1001.0,6.0,174.9,0.0,1001.0,2.0,774.4,0.0,1001.0,4.0,765.3,10.0,619.8,9.0,453.8,1.0,935.1,0.0,1001.0,32.0,35.0,0.0,1.9459101490553128,0.0,1.0986122886681098,0.0,1.6094379124341005,2.3978952727983707,2.302585092994046,0.6931471805599453,0.0,3.49650756146648,37.2
6863700.0,15.741757358595084,avito,unknown,unknown,unknown,flat,monolith,new_building,comfort,unknown,unknown,unknown,unknown,designer,no_finish,ddu,unknown,unknown,low,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,55.60116,38.08297,1.0,41.1,18.9,,0.4598540145985401,,2.0,18.0,0.1111111111111111,,,,2.0,,0.0,0,0,0,0,0,0,25.5,2,,0.0,0.0,0,707,85,0.0,1001.0,164.0,251.6,11.0,584.7,7.0,369.8,7.0,201.8,24.0,200.4,36.0,273.6,25.0,131.1,26.0,206.6,5.0,349.5,305.0,426.0,0.0,5.10594547390058,2.4849066497880004,2.079441541679836,2.079441541679836,3.218875824868201,3.610917912644224,3.258096538021482,3.295836866004329,1.791759469228055,5.723585101952381,41.1
9794575.0,16.097339321032326,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,gas,unknown,unknown,unknown,unknown,finished,ddu,combined,unknown,middle,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,55.66275,37.86706,1.0,35.0,18.1,10.1,0.5171428571428572,0.28857142857142853,10.0,25.0,0.4,,,2.6,,,3.0,1,0,1,1,0,1,18.0,3,,0.0,0.0,0,1104,165,0.0,1001.0,12.0,156.2,3.0,115.3,12.0,352.6,7.0,242.2,26.0,161.5,28.0,135.3,30.0,107.7,31.0,448.7,3.0,295.0,152.0,117.0,0.0,2.5649493574615367,1.3862943611198906,2.5649493574615367,2.079441541679836,3.295836866004329,3.367295829986474,3.4339872044851463,3.4657359027997265,1.3862943611198906,5.030437921392435,35.0
13293844.0,16.402811704120477,avito,unknown,unknown,unknown,flat,monolith_brick,new_building,business,unknown,unknown,unknown,unknown,designer,no_finish,ddu,combined,unknown,low,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,55.59133,37.48273,1.0,32.6,15.1,17.5,0.46319018404907975,0.5368098159509203,2.0,18.0,0.1111111111111111,,,2.7,3.0,,0.0,1,0,1,0,0,0,25.5,3,,0.0,0.0,0,1913,244,7.0,770.9,5.0,434.1,0.0,1001.0,0.0,1001.0,0.0,1001.0,0.0,1001.0,0.0,1001.0,8.0,616.4,0.0,1001.0,0.0,1001.0,19.0,46.0,2.079441541679836,1.791759469228055,0.0,0.0,0.0,0.0,0.0,2.19722457733622,0.0,0.0,2.995732273553991,32.6
6893383.0,15.746072669006093,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,ddu,combined,loggia,low,unknown,unknown,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,55.94915,37.4737,1.0,37.6,15.4,13.2,0.4095744680851064,0.351063829787234,2.0,12.0,0.16666666666666666,,,2.7,,,0.0,1,0,1,1,1,2,31.0,1,,0.0,1.0,0,227,33,0.0,1001.0,21.0,137.2,2.0,941.6,7.0,647.0,4.0,635.7,2.0,299.5,16.0,188.7,11.0,196.4,13.0,595.0,1.0,889.3,77.0,83.0,0.0,3.091042453358316,1.0986122886681098,2.079441541679836,1.6094379124341005,1.0986122886681098,2.833213344056216,2.4849066497880004,2.6390573296152584,0.6931471805599453,4.356708826689592,37.6
7172872.0,15.785816829668128,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,unknown,unknown,unknown,unknown,unknown,no_finish,ddu,unknown,unknown,low,sleeping,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,55.90726,37.43297,1.0,34.8,,11.5,,0.33045977011494254,2.0,20.0,0.1,,,2.7,,,0.0,0,0,0,1,0,1,25.5,2,,0.0,0.0,0,1430,214,0.0,1001.0,8.0,21.3,0.0,1001.0,0.0,1001.0,1.0,964.5,0.0,1001.0,6.0,139.0,10.0,275.4,10.0,135.9,0.0,1001.0,35.0,33.0,0.0,2.19722457733622,0.0,0.0,0.6931471805599453,0.0,1.9459101490553128,2.3978952727983707,2.3978952727983707,0.0,3.58351893845611,34.8
8498611.0,15.955413414008962,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,gas,unknown,unknown,unknown,unknown,finished,ddu,combined,unknown,low,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,55.65533,37.87162,1.0,32.8,15.8,8.9,0.48170731707317077,0.27134146341463417,2.0,17.0,0.11764705882352941,,,2.6,,,3.0,1,0,1,1,1,2,31.0,2,,0.0,0.0,0,1010,148,0.0,1001.0,7.0,147.1,3.0,524.1,3.0,444.0,2.0,360.4,7.0,235.5,8.0,269.7,19.0,273.7,13.0,471.8,2.0,621.2,64.0,52.5,0.0,2.079441541679836,1.3862943611198906,1.3862943611198906,1.0986122886681098,2.079441541679836,2.19722457733622,2.995732273553991,2.6390573296152584,1.0986122886681098,4.174387269895637,32.8
9629180.0,16.08030873342866,avito,unknown,unknown,unknown,flat,monolith,new_building,unknown,electric,unknown,unknown,unknown,unknown,prefinish,ddu,combined,unknown,middle,unknown,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,55.76603,37.21311,1.0,38.1,17.1,11.9,0.4488188976377953,0.3123359580052493,5.0,9.0,0.5555555555555556,,,2.7,,,2.0,1,0,1,1,0,1,5.0,0,,0.0,0.0,0,1140,157,0.0,1001.0,18.0,243.2,1.0,640.2,1.0,314.8,0.0,1001.0,1.0,733.6,4.0,371.6,5.0,530.7,5.0,359.0,0.0,1001.0,35.0,47.5,0.0,2.9444389791664403,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341005,1.791759469228055,1.791759469228055,0.0,3.58351893845611,38.1
