"source";"record_id";"listing_id";"canonical_url";"url";"segment";"segment_url";"quicklink_count";"page_number";"position_on_page";"status";"run_marker";"collected_at";"parsed_at";"error"
"cian";"cian_330116600";"330116600";"https://www.cian.ru/sale/flat/330116600/";"https://mytishchi.cian.ru/sale/flat/330116600/?context=4.2FuCECMDNec.vEIDtFDlcf9FBD-_UL2SHxCLeL1vaIVVgVVgMnNuwL_ppODNMtVzZB883d9Bx-OFDkzTZgwy8XdpRg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"21";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:15:07";""
"cian";"cian_330317383";"330317383";"https://www.cian.ru/sale/flat/330317383/";"https://dedovsk.cian.ru/sale/flat/330317383/?context=4.kSD7QmArN0E.kECmPUqB0a498UGTlk-13yqSNORF4ZAypxj-dulfzUmG5xDvc6eAM9X8PsGcHT2KsnXVNIl4I3v1tQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"22";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:15:22";""
"cian";"cian_322093366";"322093366";"https://www.cian.ru/sale/flat/322093366/";"https://solnechnogorsk.cian.ru/sale/flat/322093366/?context=4.I8k04zTmtsY.DN0dPE6ajhTutwVzCD53no-575Pe5b14GP9Q4jwC5VHEz0kXNGkC9K66gzaIbPbIB2_GvsqT53FVgg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"23";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:15:36";""
"cian";"cian_330847881";"330847881";"https://www.cian.ru/sale/flat/330847881/";"https://khimki.cian.ru/sale/flat/330847881/?context=4.0sVrqMaiPzs.mfyrM8BUwOUG9BLFxPNEZDMu3D8D4Yf9qRIxWKi45VSp_qP9nNZmRgEGmtXpOeV3JcN6Y6fhz8FBMA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"24";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:15:51";""
"cian";"cian_326657641";"326657641";"https://www.cian.ru/sale/flat/326657641/";"https://korolev.cian.ru/sale/flat/326657641/?context=4.111QkWV1aqU.d-m8u3qvhH-KAV7nct3oib93R6ZyrxSTFUDHN7qJtNbZYeWSq7Gy-S2L6Gwuhzxd0Gy04ix3DiXF8w&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"25";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:16:03";""
"cian";"cian_329450379";"329450379";"https://www.cian.ru/sale/flat/329450379/";"https://balashikha.cian.ru/sale/flat/329450379/?context=4.1w0Fnnkc9rU.zmzjbUytF1wybFATQy2303bauXxrbPqb-393JMM5hzO-Hsa3w4lTL1sx9VZFBF5E5c1Oi0d5h7cbxQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"26";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:16:17";""
"cian";"cian_327403283";"327403283";"https://www.cian.ru/sale/flat/327403283/";"https://khimki.cian.ru/sale/flat/327403283/?context=4.NZfJxhTvMXg.HxODT_SjD7JsRiUGAK8m9ztXhDPQ-jsmKYQkpTZQABvYxkWh0R-z_i_QtFny694qfun6nkppnhIXFg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"27";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:16:32";""
"cian";"cian_328039106";"328039106";"https://www.cian.ru/sale/flat/328039106/";"https://dmitrov.cian.ru/sale/flat/328039106/?context=4.vc8sFs_qe-U.S36D6ngYIUF4DZJYRqDG1uJ7w7G5ScYff2Wgc8eNP6VfDhreQVJDjBniKokE-pZ07mKB7aT_iFp40g&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"28";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:16:45";""
"cian";"cian_329791265";"329791265";"https://www.cian.ru/sale/flat/329791265/";"https://mytishchi.cian.ru/sale/flat/329791265/?context=4.f0uQJi9l748.Z_E80sWx3lLF4sRGDGDcWzgOH9lomA28LVVzT4ByC0H-XFCcv_cnIdjJKhfRNmQetCYYkaIP1xcRvA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"1";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:17:00";""
"cian";"cian_330807550";"330807550";"https://www.cian.ru/sale/flat/330807550/";"https://krasnogorsk.cian.ru/sale/flat/330807550/?context=4.w7-8xL6k-GU.jo-RikO8Xu_l5S1ubsOuLAzOSxn7V43oai5h2Ax9Ez56fvJZh8XBELZoLio-vm60ZIUZLnUd-imOPA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"2";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:17:13";""
