"source";"segment";"segment_url";"checkbox_label";"checkbox_value";"checkbox_marker";"page_number";"position_on_page";"listing_id";"url";"title_from_listing";"price_from_listing";"price_from_listing_num";"address_from_listing";"description_from_listing";"status";"run_marker";"collected_at";"parsed_at";"error"
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"10";"7452780683";"https://www.avito.ru/aprelevka/kvartiry/3-k._kvartira_1134_m_14_et._7452780683?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 113,4 м², 1/4 эт.";"13 900 000 ₽";"13900000";"Цветочный пер., 11 Апрелевка";"Номер лота: вт-0426931. Эксклюзивное Предложение! Вашему вниманию предлагается шикарная двухуровневая 3-х комнатная квартира общей площадью 113,4 кв. М., в ЖК «Апрельская мелодия». Ремонт выполнен по дизайнерскому проекту с применением дорогостоящих матери";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:58:20";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"11";"8193511857";"https://www.avito.ru/moskovskaya_oblast_dubna/kvartiry/3-k._kvartira_872_m_39_et._8193511857?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 87,2 м², 3/9 эт.";"10 812 800 ₽";"10812800";"Ул. Программистов, д. 11 Дубна";"Номер квартиры: 73. Этаж: 3. Площадь: 87.20. Корпус: Дом 1. Дома по улице Макаренко представляют собой монолитно-кирпичные здания. Застройщиком представлены различные планировки квартир — от одно- до трёхкомнатных, включая европланировки, общей площадь";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:58:34";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"12";"8147076029";"https://www.avito.ru/vidnoe/kvartiry/3-k._kvartira_65_m_45_et._8147076029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 65 м², 4/5 эт.";"11 000 000 ₽";"11000000";"ЖК Живописный, 4к1 Видное";"Эксклюзивное предложение! В продаже двухуровневая квартира в ЖК Живописный. Квартира расположена на 4-5этажах с собственным выходом на крышу где можно летом прекрасно проводить время и загорать. На первом этаже: большая кухня-студия и Санузел. На втором (";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:58:52";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"13";"8091828049";"https://www.avito.ru/lyubertsy/kvartiry/3-k._kvartira_785_m_217_et._8091828049?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 78,5 м², 2/17 эт.";"18 379 934 ₽";"18379934";"Московская область, городской округ Люберцы, посёлок Мирный, жилой комплекс Томилино Парк, к6.4 Люберцы";"Строим кварталы для жизни с заботой о будущем. Предлагается 3-комнатная квартира комфорт-класса площадью 78.47 кв. М в корпусе 6.4 на 2-м этаже, в жилом комплексе «Томилино Парк». Квартира комплекса — на выбор: могжет быть как с отделкой, так и без. В слу";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:59:08";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"14";"7986575140";"https://www.avito.ru/moskovskaya_oblast_troitsk/kvartiry/3-k._kvartira_851_m_612_et._7986575140?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 85,1 м², 6/12 эт.";"18 228 420 ₽";"18228420";"Ул. Академика Франка, стр. 6 Троицк";"Квартира в Новостройке, строящемся жилом комплексе, сдача в 2027 году, без отделки. Жилой комплекс «Троицкий» — это современный проект комфорт-класса в развитом наукограде Троицк (Новая Москва), всего в 23 км от Мкад по скоростному Калужскому шоссе. Вокру";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:59:28";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"15";"8125033469";"https://www.avito.ru/odintsovo/kvartiry/3-k._kvartira_763_m_321_et._8125033469?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 76,3 м², 3/21 эт.";"19 574 000 ₽";"19574000";"Ул. Верхне-Пролетарская/Сосновая, стр. 1 Одинцово";"Продается 3-комн. Квартира площадью 76,3 кв. М на 3 этаже 21 этажного дома в ЖК «Союзный» от федерального девелопера ГК «Вектор». Расположение, транспортная доступность. Жилой комплекс «Союзный» — это квартал из 6 монолитных домов комфорт-класса высотой д";"done";"";"2026-06-06 12:05:37";"2026-06-07 18:59:43";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"16";"8100431747";"https://www.avito.ru/domodedovo/kvartiry/3-k._kvartira_846_m_317_et._8100431747?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 84,6 м², 3/17 эт.";"12 261 200 ₽";"12261200";"ул. Текстильщиков, стр. 45 Домодедово";"Старт продаж квартир в ЖК Оптима на Текстильщиков. Цены на старте ниже! 17 этажный жилой дом в микрорайоне Западный — зелёная часть города, рядом с рекой Рожайкой и Городским лесом. Поблизости магазины, аптеки, детские сады, образовательные учреждения, с";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:00:01";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"17";"8120789998";"https://www.avito.ru/zarechye/kvartiry/3-k._kvartira_917_m_59_et._8120789998?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 91,7 м², 5/9 эт.";"30 607 697 ₽";"30607697";"Б-р Мещерский, стр. 2.2 Заречье";"Продается трехкомнатная квартира без отделки в девятиэтажном монолитном доме жилого комплекса «Резиденции Сколково». Общая площадь квартиры — 91,7 кв. М, этаж 5 из 9. Срок сдачи — 2 квартал 2027 года. Только ДО 30 Июня выгодные условия на приобретение ква";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:00:21";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"18";"7869951788";"https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/3-k._kvartira_542_m_614_et._7869951788?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 54,2 м², 6/14 эт.";"10 725 428 ₽";"10725428";"Ул. Береговая, стр. 1.1 Красногорск";"Квартира Объект собственности #51787. Продается 3-к квартира. На 6-м этаже 14-этажного. Нового дома в корпусе 1.1 в ЖК «Аникеевский».";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:00:36";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"19";"3937765365";"https://www.avito.ru/vidnoe/kvartiry/3-k._kvartira_764_m_2525_et._3937765365?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 76,4 м², 25/25 эт.";"17 203 752 ₽";"17203752";"д. Тарычево, ул. Фруктовые Сады, д. 1.3 Видное";"Номер квартиры: 382. Этаж: 25. Площадь: 76.40. Корпус: Корпус 1.3. Все лучшее, все прекрасное в жизни можно описать словом сад. Оно вобрало в себя то, что ценно для каждого: мечты о своем доме, о счастье, о семье, о пространстве, где особенно чувствуетс";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:00:53";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"20";"8193041112";"https://www.avito.ru/krasnoarmeysk/kvartiry/3-k._kvartira_646_m_1616_et._8193041112?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 64,6 м², 16/16 эт.";"8 398 000 ₽";"8398000";"ул. Краснофлотская, д. 9А Красноармейск";"Номер квартиры: 71. Этаж: 16. Площадь: 64.60. Корпус: ЖК «Краснофлотская». Жилой комплекс «Краснофлотская» представляет собой монолитное здание. В проекте предусмотрены квартиры с различными планировками, что позволяет выбрать подходящий формат жилья в";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:01:11";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"21";"8091168991";"https://www.avito.ru/tomilino/kvartiry/3-k._kvartira_783_m_418_et._8091168991?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 78,3 м², 4/18 эт.";"14 202 615 ₽";"14202615";"Московская область, городской округ Люберцы, посёлок Жилино-1, жилой комплекс Егорово Парк, стр. 4.1 Томилино";"Строим кварталы для жизни с заботой о будущем. Предлагается 3-комнатная квартира комфорт-класса площадью 78.31 кв. М в корпусе 4.1 (очередь 4) на 4-м этаже, в жилом комплексе «Егорово Парк». Квартиры комплекса — на выбор: могут быть как с отделкой, так и";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:01:26";""
"avito";"3 комнаты";"https://www.avito.ru/moskovskaya_oblast/kvartiry/prodam/3-komnatnye-ASgBAgICAkSSA8YQygiEWQ?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6InkiO3M6MTY6IkJSc1F3MVJJUmVPbW1LZWwiO33rL3oOJgAAAA&localPriority=0";"3 комнаты";"5698";"params[549]/checkbox/5698";"2";"22";"8129503278";"https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/3-k._kvartira_797_m_59_et._8129503278?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuYVp4ZEI5QWRSZ2tCZEhDIjt9PATKfD8AAAA";"3-к. квартира, 79,7 м², 5/9 эт.";"17 940 470 ₽";"17940470";"Д. Глухово, стр. 4.3 Красногорск";"В Красногорске Московской области продаётся 3-комнатная квартира квартира площадью 79.7 на 5 этаже 9 этажного дома (корпус 4.3, секция 2) в проекте ПИК «Ильинские луга». Удобное расположение. 20 минут на автомобиле до станций метро «Волоколамская», «Туши";"done";"";"2026-06-06 12:05:37";"2026-06-07 19:01:45";""
