price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
6721963.0,56.00612,37.8749,48.6,1.0,0.8235294117647058,,new_building,flat,avito,"ш. ярославское, д. 194, корп. 1",жк «серебро»
8943020.0,55.94798,37.76817,35.4,1.0,0.42857142857142855,,new_building,flat,avito,"жилой комплекс мытищи парк, к6",жк «мытищи парк»
6064500.0,56.04951,37.86443,31.1,1.0,0.125,,new_building,flat,avito,"городской округ пушкинский, стр. 4",жилой квартал пушкино град
4500000.0,56.178924,37.493865,36.5,1.0,0.2,2015.0,unknown,flat,avito,"московская обл., дмитровский муниципальный округ, пгт. икша, рабочая ул., 28",unknown
8847199.0,55.8074,37.31868,32.5,1.0,0.44,,new_building,flat,avito,"туп. ильинский, стр. 3",жк «ильинойс»
11885570.0,55.83449,37.25043,40.7,1.0,0.5,,unknown,flat,avito,"мкр. опалиха, ул. новая московская, д. 49, корп. 3",миниполис «8 кленов»
13672800.0,55.66378,37.85264,36.0,1.0,0.52,,unknown,flat,avito,"микрорайон белая дача, д. 30",кузьминский лес
9477171.0,56.06263,37.35811,48.8,1.0,0.8,,unknown,flat,avito,"проезд 2-ой восточный, д. 2",жк «зеленый оазис-город»
11615760.0,55.91023,37.76251,40.8,1.0,0.4166666666666667,,new_building,flat,avito,"ул. колонцова, стр. 15",яуза парк
3150000.0,55.27544785,38.74493027,31.0,1.0,0.6,,unknown,flat,avito,"московская обл., воскресенск, мкр-н москворецкий, ул. спартака, 12",unknown
6699844.0,55.43046,37.46739,36.1,1.0,0.5,,new_building,flat,avito,"д. докукино, стр. 1.1",жк «дубровицы клаб»
7690402.0,55.84756,37.2416,37.4,1.0,0.4444444444444444,,unknown,flat,avito,"мкр. опалиха, стр. 9",жк «никольский квартал отрада»
9061000.0,55.67683,37.23661,36.4,1.0,0.9565217391304348,,new_building,flat,avito,"ул. западная, стр. 11",жк «одинград квартал семейный»
7200000.0,55.7464,38.006013,34.0,1.0,0.4444444444444444,,unknown,flat,avito,"московская обл., балашиха, мкр-н железнодорожный, ул. маяковского, 2",unknown
9827210.0,55.90726,37.43297,35.7,1.0,0.40625,,new_building,flat,avito,"ул. рабочая , корп. 2.1",химки парк
19983018.0,55.5598,37.51101,40.2,1.0,0.9285714285714286,,unknown,flat,avito,"п. сосенское, ул. поляны, з/у 50д, стр. 18.1.2",жк «скандинавия»
9666715.0,55.66275,37.86706,35.1,1.0,1.0,,new_building,flat,avito,"ул. новая, д. 1-10, корп. 5а",томилинский бульвар
7500000.0,55.59885,37.77178,35.9,1.0,0.3333333333333333,,new_building,flat,avito,"римский пр-д, д. 15",жк «римский»
6348459.0,55.41148,37.83296,38.4,1.0,0.75,,new_building,flat,avito,"ул. жуковского, стр. 1",жк «космос»
11090000.0,55.815792,37.369467,42.3,1.0,1.0,,unknown,flat,avito,"московская обл., красногорск, красногорский б-р, 13к2",unknown
15100000.0,55.59365,37.43352,34.5,1.0,0.5882352941176471,2026.0,unknown,flat,avito,"п. сосенское, дер. николо-хованское, з/у 3/3, стр. 7.1",жк «прокшино»
8265000.0,55.52428,37.61537,38.0,1.0,0.12,,new_building,flat,avito,"с/п булатниковское, д. боброво, мкр. «боброво», корп. 47",восточное бутово
11233422.0,55.5679,37.68829,34.3,1.0,0.4583333333333333,,unknown,flat,avito,"д. тарычево, ул. фруктовые сады, д. 1.3",жк 1-й южный
4823000.0,56.1002,38.11672,37.1,1.0,0.1875,,unknown,flat,avito,"ул. краснофлотская, д. 9а",жк «краснофлотская»
12150000.0,55.5497,37.31755,40.5,1.0,0.30434782608695654,,new_building,flat,avito,"пос. филимонковское, ул. харлампиева, вл. 32",жк «детали»
7988954.0,55.49886,37.73963,34.7,1.0,0.8235294117647058,,new_building,flat,avito,"московская область, городской округ домодедово, село ям, жилой комплекс прибрежный парк, стр. 11.1",жк «прибрежный парк»
18710412.0,55.6656,37.87219,49.4,1.0,0.5,,unknown,flat,avito,"ш. новорязанское, д. 6",жк «дюна»
4700000.0,54.87733841,37.22107315,37.8,1.0,0.35714285714285715,1989.0,unknown,flat,avito,"московская обл., г.о. серпухов, протвино, ул. ленина, 25",unknown
7708872.0,55.90196,37.28256,37.5,1.0,0.16666666666666666,,new_building,flat,avito,"дер. аристово, стр. 1",жк «аристов берег»
2500000.0,54.904748,37.364364,32.0,1.0,0.2,1965.0,unknown,flat,avito,"московская обл., г.о. серпухов, пос. большевик, ул. ленина, 16",unknown
6765615.0,55.94884,37.47548,36.9,1.0,0.09090909090909091,,new_building,flat,avito,"ул. береговая, стр. 8",жк «берег»
5783400.0,55.45219,37.54058,37.8,1.0,0.11764705882352941,,new_building,flat,avito,"ул. садовая, д. 14",жк «красная горка»
4300000.0,55.902409,38.11974,34.2,1.0,0.7857142857142857,2012.0,unknown,flat,avito,"московская обл., г.о. лосино-петровский, пгт. аничково, 7",unknown
